,Salary,PLAYER,Score,Power Index
0,11200,Giannis Antetokounmpo,49.75,0.023811164713990352
2,10700,LeBron James,44.25,0.021433494141971054
4,9400,Victor Oladipo,50.5,0.047002067539627844
6,9400,James Harden,65.75,0.07742935906271536
8,7300,Tim Hardaway Jr.,17.0,0.006064782908339076
10,7000,Khris Middleton,30.25,0.016643694004135078
12,6900,Jamal Murray,25.75,0.01674707098552722
14,6800,Domantas Sabonis,21.5,0.020847691247415576
16,6500,Evan Fournier,23.5,0.011819434872501722
18,6200,CJ McCollum,20.0,0.012474155754651965
20,6200,Jayson Tatum,43.0,0.040213645761543765
22,6000,Kyle Kuzma,33.5,0.02753273604410751
24,6000,Brandon Ingram,14.25,0.00799448656099242
26,6000,Eric Bledsoe,34.5,0.03335630599586492
28,6000,Al Horford,32.0,0.04848380427291523
30,5800,Kent Bazemore,42.25,0.0339421088904204
32,5800,Marcus Morris,23.0,0.014369400413507925
34,5500,Eric Gordon,16.0,0.01144038594073053
36,5400,Noah Vonleh,15.75,0.017815299793246038
38,5100,Paul Millsap,50.5,0.1133356305995865
40,5000,Evan Turner,11.25,0.004583046175051689
42,4900,Malcolm Brogdon,39.5,0.04472777394900069
44,4900,Al-Farouq Aminu,27.75,0.02095106822880772
46,4900,Gordon Hayward,27.75,0.017091660923501034
48,4900,Terrence Ross,34.25,0.023949000689179874
50,4800,Trey Lyles,23.25,0.015885596140592696
52,4600,Thaddeus Young,17.75,0.01171605789110958
54,4500,Ersan Ilyasova,13.5,0.01643694004135079
56,4500,Terry Rozier,9.0,0.00554789800137836
58,4500,Bojan Bogdanovic,42.5,0.03859407305306685
60,4400,Jaylen Brown,9.75,0.004548587181254307
62,4100,Marcus Smart,13.0,0.009131633356305995
64,4000,Tyreke Evans,16.75,0.008201240523776706
66,3900,Jeremy Lin,9.25,0.0049965541006202615
68,3900,Juancho Hernangomez,15.75,0.010268780151619573
70,3800,Mason Plumlee,7.25,0.007856650585802894
72,3800,James Ennis III,6.25,0.002412129565816678
74,3800,Mario Hezonja,22.75,0.01695382494831151
76,3400,Lance Stephenson,17.25,0.013335630599586493
78,3400,Nik Stauskas,6.25,0.002412129565816678
80,3400,Jonathon Simmons,25.5,0.016264645072363887
82,3300,Daniel Theis,2.0,0.0022053756030323913
84,3300,Trey Burke,18.25,0.015334252239834596
86,3200,Pat Connaughton,15.75,0.008407994486560993
88,3100,Tony Snell,9.5,0.004686423156443832
90,3100,Seth Curry,12.5,0.008683666436940041
92,3100,Doug McDermott,6.5,0.0036526533425223985
94,3000,Kentavious Caldwell-Pope,21.5,0.012232942798070296
96,3000,Kyle O'Quinn,1.5,0.0013783597518952446
98,3000,Jarell Martin,25.5,0.040385940730530666
100,3000,Ron Baker,7.25,0.0044107512060647825
