,Index,Player,Pos
12,0.10299145299145299,Andre Iguodala,SG
27,0.1124031007751938,Andre Iguodala,SF
38,0.06676840900419687,Channing Frye,PF
44,0.10168434185901434,Channing Frye,C
19,0.22088006902502158,David Nwaba,SF
8,0.1911519198664441,David Nwaba,SG
4,0.03528208624509971,Eric Gordon,PG
15,0.06606152294503277,Eric Gordon,SG
46,0.09125156969443282,Frank Kaminsky,C
41,0.06098484848484848,Frank Kaminsky,PF
3,0.07242827151854443,Jamal Murray,PG
9,0.12070759625390219,Jamal Murray,SG
13,0.17612442202606138,James Ennis III,SG
20,0.1955958549222798,James Ennis III,SF
6,0.42475305055200463,James Harden,SG
0,0.44099502487562187,James Harden,PG
7,0.2692307692307692,Jeremy Lamb,SG
18,0.3070725156669651,Jeremy Lamb,SF
14,0.12190383681398738,Jeremy Lin,SG
2,0.07025137339770268,Jeremy Lin,PG
31,0.3742440412664532,Jonas Jerebko,PF
22,0.2859048465984882,Jonas Jerebko,SF
5,0.2271815446339017,Jordan Clarkson,SG
1,0.17269765048876692,Jordan Clarkson,PG
28,0.10656474820143885,Juancho Hernangomez,SF
34,0.15780078543377365,Juancho Hernangomez,PF
26,0.12598061836640517,Kent Bazemore,SF
10,0.11043212570929725,Kent Bazemore,SG
32,0.3161111111111111,Kevin Durant,PF
21,0.2212624584717608,Kevin Durant,SF
35,0.11554866227219852,Kevon Looney,PF
43,0.1655958549222798,Kevon Looney,C
42,0.2713480710879931,Larry Nance Jr.,C
36,0.18009478672985782,Larry Nance Jr.,PF
23,0.12041181736794987,Marvin Williams,SF
33,0.1669029057406095,Marvin Williams,PF
40,0.08673667833527811,Mason Plumlee,PF
45,0.12876151484135107,Mason Plumlee,C
25,0.09876543209876543,Nicolas Batum,SF
16,0.0940550133096717,Nicolas Batum,SG
37,0.10418342719227675,Paul Millsap,PF
47,0.14575523704520396,Paul Millsap,C
24,0.11075514874141876,Rodney Hood,SF
11,0.08803706823925864,Rodney Hood,SG
30,0.023902651021295088,Torrey Craig,SF
17,0.021909880115750312,Torrey Craig,SG
29,0.03901996370235935,Trey Lyles,SF
39,0.05749191519942508,Trey Lyles,PF
